Block,Cage,Day,Treatment,Wingless,Winged,Aphids,Mummies,Comments
2,11,4,P_LBL,161,0,161,0,
2,12,4,P_LBL,141,1,142,15,
2,14,4,P_LBL,78,0,78,16,
2,15,4,LBL,268,0,268,0,
2,1,5,UTC,612,10,622,0,
2,2,5,LBO,343,26,369,0,
2,3,5,P,383,28,411,16,
2,4,5,P,358,21,379,0,
2,5,5,P,478,14,492,14,
2,7,5,P_LBO,241,0,241,11,
2,8,5,P_LBO,390,9,399,15,
2,9,5,P_LBO,297,5,302,11,
2,10,5,P_LBO,35,0,35,10,
2,11,5,P_LBL,316,1,317,0,
2,12,5,P_LBL,242,22,264,20,
2,14,5,P_LBL,92,9,101,19,
2,15,5,LBL,263,0,263,0,
3,1,0,UTC,25,0,25,0,
3,2,0,UTC,25,0,25,0,
3,3,0,UTC,25,0,25,0,
3,4,0,UTC,25,0,25,0,
3,5,0,LBO,25,0,25,0,
3,6,0,LBO,25,0,25,0,
3,7,0,LBO,25,0,25,0,
3,8,0,LBO,25,0,25,0,
3,10,0,P,25,0,25,0,
3,12,0,P,25,0,25,0,
3,13,0,P,25,0,25,0,
3,14,0,P,25,0,25,0,
3,15,0,P,25,0,25,0,
3,17,0,P_LBO,25,0,25,0,
3,18,0,P_LBO,25,0,25,0,
3,19,0,P_LBO,25,0,25,0,
3,21,0,P_LBL,25,0,25,0,
3,23,0,P_LBL,25,0,25,0,
3,24,0,P_LBL,25,0,25,0,
3,25,0,P_LBL,25,0,25,0,
3,26,0,P_LBL,25,0,25,0,
3,27,0,LBL,25,0,25,0,
3,28,0,LBL,25,0,25,0,
3,29,0,LBL,25,0,25,0,
3,30,0,LBL,25,0,25,0,
3,31,0,LBL,25,0,25,0,
3,1,1,UTC,33,0,33,0,
3,2,1,UTC,14,0,14,0,
3,3,1,UTC,47,0,47,0,
3,4,1,UTC,32,1,33,0,
3,5,1,LBO,20,0,20,0,
3,6,1,LBO,40,0,40,0,
3,7,1,LBO,24,0,24,0,
3,8,1,LBO,35,1,36,0,
3,10,1,P,25,0,25,0,1 parasitoid dead under the container's lead/ 2 P recovered
3,12,1,P,25,1,26,0,2 P recovered alive
3,13,1,P,24,0,24,0,2 P recovered alive
3,14,1,P,28,1,29,0,"1 P alive, 1 P dead (2 P recovered)"
3,15,1,P,38,0,38,0,"1 P recovered, 1 P missing "
3,17,1,P_LBO,34,2,36,0,"1 P recovered, 1 P missing "
3,18,1,P_LBO,33,0,33,0,2 P recovered alive
3,19,1,P_LBO,27,0,27,0,2 P recovered alive
3,21,1,P_LBL,10,1,11,0,2 P recovered alive
3,23,1,P_LBL,20,0,20,0,"1 P recovered, 1 P missing "
3,24,1,P_LBL,8,1,9,0,2 P recovered alive
3,25,1,P_LBL,24,0,24,0,"1 P alive, 1 P dead (2 P recovered)"
3,26,1,P_LBL,14,0,14,0,2 P recovered alive
3,27,1,LBL,16,1,17,0,LB dead
3,28,1,LBL,21,0,21,0,
3,29,1,LBL,3,0,3,0,
3,30,1,LBL,7,0,7,0,
3,31,1,LBL,4,0,4,0,
3,1,2,UTC,70,1,71,0,
3,2,2,UTC,12,0,12,0,
3,3,2,UTC,75,1,76,0,
3,4,2,UTC,59,1,60,0,
3,5,2,LBO,6,0,6,0,
3,6,2,LBO,68,1,69,0,
3,7,2,LBO,36,1,37,0,
3,8,2,LBO,48,0,48,0,
3,10,2,P,27,1,28,0,
3,12,2,P,51,1,52,0,
3,13,2,P,36,0,36,0,
3,14,2,P,55,1,56,0,
3,15,2,P,51,1,52,0,
3,17,2,P_LBO,57,3,60,0,
3,18,2,P_LBO,64,0,64,0,
3,19,2,P_LBO,44,0,44,0,
3,21,2,P_LBL,23,0,23,0,
3,23,2,P_LBL,32,0,32,0,
3,24,2,P_LBL,24,1,25,0,
3,25,2,P_LBL,44,0,44,0,
3,26,2,P_LBL,21,0,21,0,
3,27,2,LBL,28,1,29,0,
3,28,2,LBL,49,1,50,0,
